x,x1,x2,owner,sample_code
J1-16S,J1,1,jen,DW-1.1-S
J2-16S,J2,2,jen,DW-1.2-S
J3-16S,J3,3,jen,DW-1.3-S
J4-16S,J4,4,jen,DW-1.4-S
J5-16S,J5,5,jen,DW-1.5-S
J6-16S,J6,6,jen,DW-2.1-S
J7-16S,J7,7,jen,DW-2.2-S
J8-16S,J8,8,jen,DW-2.3-S
J9-16S,J9,9,jen,DW-2.4-S
J10-16S,J10,10,jen,DW-2.5-S
J11-16S,J11,11,jen,DW-3.1-S
J12-16S,J12,12,jen,DW-3.2-S
J13-16S,J13,13,jen,DW-3.3-S
J14-16S,J14,14,jen,DW-3.4-S
J15-16S,J15,15,jen,DW-3.5-S
J16-16S,J16,16,jen,DW-4.1-S
J17-16S,J17,17,jen,DW-4.2-S
J18-16S,J18,18,jen,DW-4.3-S
J19-16S,J19,19,jen,DW-4.4-S
J20-16S,J20,20,jen,DW-4.5-S
J21-16S,J21,21,jen,DW-1.1-R
J22-16S,J22,22,jen,DW-1.2-R
J23-16S,J23,23,jen,DW-1.3-R
J24-16S,J24,24,jen,DW-1.4-R
J25-16S,J25,25,jen,DW-1.5-R
J26-16S,J26,26,jen,DW-2.1-R
J27-16S,J27,27,jen,DW-2.2-R
J28-16S,J28,28,jen,DW-2.3-R
J29-16S,J29,29,jen,DW-2.4-R
J30-16S,J30,30,jen,DW-2.5-R
J31-16S,J31,31,jen,DW-3.1-R
J32-16S,J32,32,jen,DW-3.2-R
J33-16S,J33,33,jen,DW-3.3-R
J34-16S,J34,34,jen,DW-3.4-R
J35-16S,J35,35,jen,DW-3.5-R
J36-16S,J36,36,jen,DW-4.1-R
J37-16S,J37,37,jen,DW-4.2-R
J38-16S,J38,38,jen,DW-4.3-R
J39-16S,J39,39,jen,DW-4.4-R
J40-16S,J40,40,jen,DW-4.5-R
J41-16S,J41,41,jen,EW-1.1-S
J42-16S,J42,42,jen,EW-1.2-S
J43-16S,J43,43,jen,EW-1.3-S
J44-16S,J44,44,jen,EW-1.4-S
J45-16S,J45,45,jen,EW-1.5-S
J46-16S,J46,46,jen,EW-2.1-S
J47-16S,J47,47,jen,EW-2.2-S
J48-16S,J48,48,jen,EW-2.3-S
J49-16S,J49,49,jen,EW-2.4-S
J50-16S,J50,50,jen,EW-2.5-S
J51-16S,J51,51,jen,EW-3.1-S
J52-16S,J52,52,jen,EW-3.2-S
J53-16S,J53,53,jen,EW-3.3-S
J54-16S,J54,54,jen,EW-3.4-S
J55-16S,J55,55,jen,EW-3.5-S
J56-16S,J56,56,jen,EW-4.1-S
J57-16S,J57,57,jen,EW-4.2-S
J58-16S,J58,58,jen,EW-4.3-S
J59-16S,J59,59,jen,EW-4.4-S
J60-16S,J60,60,jen,EW-4.5-S
J61-16S,J61,61,jen,EW-1.1-R
J62-16S,J62,62,jen,EW-1.2-R
J63-16S,J63,63,jen,EW-1.3-R
J64-16S,J64,64,jen,EW-1.4-R
J65-16S,J65,65,jen,EW-1.5-R
J66-16S,J66,66,jen,EW-2.1-R
J67-16S,J67,67,jen,EW-2.2-R
J68-16S,J68,68,jen,EW-2.3-R
J69-16S,J69,69,jen,EW-2.4-R
J70-16S,J70,70,jen,EW-2.5-R
J71-16S,J71,71,jen,EW-3.1-R
J72-16S,J72,72,jen,EW-3.2-R
J73-16S,J73,73,jen,EW-3.3-R
J74-16S,J74,74,jen,EW-3.4-R
J75-16S,J75,75,jen,EW-3.5-R
J76-16S,J76,76,jen,EW-4.1-R
J77-16S,J77,77,jen,EW-4.2-R
J78-16S,J78,78,jen,EW-4.3-R
J79-16S,J79,79,jen,EW-4.4-R
J80-16S,J80,80,jen,EW-4.5-R
J81-16S,J81,81,jen,PW-1.1-S
J82-16S,J82,82,jen,PW-1.2-S
J83-16S,J83,83,jen,PW-1.3-S
J84-16S,J84,84,jen,PW-1.4-S
J85-16S,J85,85,jen,PW-1.5-S
J86-16S,J86,86,jen,PW-2.1-S
J87-16S,J87,87,jen,PW-2.2-S
J88-16S,J88,88,jen,PW-2.3-S
J89-16S,J89,89,jen,PW-2.4-S
J90-16S,J90,90,jen,PW-2.5-S
J91-16S,J91,91,jen,PW-3.1-S
J92-16S,J92,92,jen,PW-3.2-S
J93-16S,J93,93,jen,PW-3.3-S
J94-16S,J94,94,jen,PW-3.4-S
J95-16S,J95,95,jen,PW-3.5-S
J96-16S,J96,96,jen,PW-4.1-S
J97-16S,J97,97,jen,PW-4.2-S
J98-16S,J98,98,jen,PW-4.3-S
J99-16S,J99,99,jen,PW-4.4-S
J100-16S,J100,100,jen,PW-4.5-S
J101-16S,J101,101,jen,PW-1.1-R
J102-16S,J102,102,jen,PW-1.2-R
J103-16S,J103,103,jen,PW-1.3-R
J104-16S,J104,104,jen,PW-1.4-R
J105-16S,J105,105,jen,PW-1.5-R
J106-16S,J106,106,jen,PW-2.1-R
J107-16S,J107,107,jen,PW-2.2-R
J108-16S,J108,108,jen,PW-2.3-R
J109-16S,J109,109,jen,PW-2.4-R
J110-16S,J110,110,jen,PW-2.5-R
J111-16S,J111,111,jen,PW-3.1-R
J112-16S,J112,112,jen,PW-3.2-R
J113-16S,J113,113,jen,PW-3.3-R
J114-16S,J114,114,jen,PW-3.4-R
J115-16S,J115,115,jen,PW-3.5-R
J116-16S,J116,116,jen,PW-4.1-R
J117-16S,J117,117,jen,PW-4.2-R
J118-16S,J118,118,jen,PW-4.3-R
J119-16S,J119,119,jen,PW-4.4-R
J120-16S,J120,120,jen,PW-4.5-R
J121-16S,J121,121,maria,MOC1
J122-16S,J122,122,maria,MOC2
J123-16S,J123,123,maria,MOC 3
J124-16S,J124,124,maria,MOC 4
J125-16S,J125,125,maria,MOL 1
J126-16S,J126,126,maria,MOL 2
J127-16S,J127,127,maria,MOS 3
J128-16S,J128,128,maria,MOL 4
J129-16S,J129,129,maria,MOS 1
J130-16S,J130,130,maria,MOS 2
J131-16S,J131,131,maria,MOS 3
J132-16S,J132,132,maria,MOS 4
J133-16S,J133,133,maria,MOLS 1
J134-16S,J134,134,maria,MOLS 2
J135-16S,J135,135,maria,MOLS 3
J136-16S,J136,136,maria,MOLS 4
J137-16S,J137,137,maria,T4 C1
J138-16S,J138,138,maria,T4 C2
J139-16S,J139,139,maria,T4 C3
J140-16S,J140,140,maria,T4 C4
J141-16S,J141,141,maria,T4 L1
J142-16S,J142,142,maria,T4 L2
J143-16S,J143,143,maria,T4 L3
J144-16S,J144,144,maria,T4 L4
J145-16S,J145,145,maria,T4 S1
J146-16S,J146,146,maria,T4 S2
J147-16S,J147,147,maria,T4 S3
J148-16S,J148,148,maria,T4 S4
J149-16S,J149,149,maria,T4 LS1
J150-16S,J150,150,maria,T4 LS2
J151-16S,J151,151,maria,T4LS3
J152-16S,J152,152,maria,T4 LS 4
J153-16S,J153,153,maria,T7 C1
J154-16S,J154,154,maria,T7 C2
J155-16S,J155,155,maria,T7 C3
J156-16S,J156,156,maria,T7 L1
J157-16S,J157,157,maria,T7 C4
J158-16S,J158,158,maria,T7 L2
J159-16S,J159,159,maria,T7 L3
J160-16S,J160,160,maria,T7 L4
J161-16S,J161,161,maria,T7 S1
J162-16S,J162,162,maria,T7 S2
J163-16S,J163,163,maria,T7 S3
J164-16S,J164,164,maria,T7 S4
J165-16S,J165,165,maria,T7 LS1
J166-16S,J166,166,maria,T7 LS2
J167-16S,J167,167,maria,T7 LS 3
J168-16S,J168,168,maria,T7 LS4
J169-16S,J169,169,blank,blank
J170-16S,J170,170,luka,e1.0
J171-16S,J171,171,luka,e2.0
J172-16S,J172,172,luka,e3.0
J173-16S,J173,173,luka,e4.0
J174-16S,J174,174,luka,e5.0
J175-16S,J175,175,luka,e1.1
J176-16S,J176,176,luka,e2.1
J177-16S,J177,177,luka,e3.1
J178-16S,J178,178,luka,e4.1
J179-16S,J179,179,luka,e5.1
J180-16S,J180,180,luka,e6.1
J181-16S,J181,181,luka,e7.1
J182-16S,J182,182,luka,e8.1
J183-16S,J183,183,luka,e9.1
J184-16S,J184,184,luka,e10.1
J185-16S,J185,185,luka,e11.1
J186-16S,J186,186,luka,e12.1
J187-16S,J187,187,luka,e13.1
J188-16S,J188,188,luka,e14.1
J189-16S,J189,189,luka,e15.1
J190-16S,J190,190,luka,e16.1
J191-16S,J191,191,luka,e1.2
J192-16S,J192,192,luka,e2.2
J193-16S,J193,193,luka,e3.2
J194-16S,J194,194,luka,e4.2
J195-16S,J195,195,luka,e5.2
J196-16S,J196,196,luka,e6.2
J197-16S,J197,197,luka,e7.2
J198-16S,J198,198,luka,e8.2
J199-16S,J199,199,luka,e9.2
J200-16S,J200,200,luka,e10.2
J201-16S,J201,201,luka,e11.2
J202-16S,J202,202,luka,e12.2
J203-16S,J203,203,luka,e13.2
J204-16S,J204,204,luka,e14.2
J205-16S,J205,205,luka,e15.2
J206-16S,J206,206,luka,e16.2
J207-16S,J207,207,luka,e1.3
J208-16S,J208,208,luka,e2.3
J209-16S,J209,209,luka,e3.3
J210-16S,J210,210,luka,e4.3
J211-16S,J211,211,luka,e5.3
J212-16S,J212,212,luka,e6.3
J213-16S,J213,213,luka,e7.3
J214-16S,J214,214,luka,e8.3
J215-16S,J215,215,luka,e9.3
J216-16S,J216,216,luka,e10.3
J217-16S,J217,217,luka,e11.3
J218-16S,J218,218,luka,e15.3
J219-16S,J219,219,luka,e16.3
J220-16S,J220,220,luka,e1.4
J221-16S,J221,221,luka,e2.4
J222-16S,J222,222,luka,e3.4
J223-16S,J223,223,luka,e4.4
J224-16S,J224,224,luka,e5.4
J225-16S,J225,225,luka,e6.4
J226-16S,J226,226,luka,e7.4
J227-16S,J227,227,luka,e8.4
J228-16S,J228,228,luka,e11.4
J229-16S,J229,229,luka,e1.5
J230-16S,J230,230,luka,e2.5
J231-16S,J231,231,luka,e3.5
J232-16S,J232,232,luka,e1.6
J233-16S,J233,233,luka,e2.6
