ID,Date,Day,Group,Temperature,Light,Tank,Aminopeptidase,Glucosidase
e1.1.0,29.06.22,0,1,15,Light,0,0.452109356,0.029126586
e1.1.0,29.06.22,0,1,15,Light,0,0.52743534,0.014003301
e1.1.0,29.06.22,0,1,15,Light,0,0.356028387,0.017588389
e1.2.0,29.06.22,0,2,15,Light,0,0.694213788,0.035209721
e1.2.0,29.06.22,0,2,15,Light,0,0.291398014,-0.004770857
e1.2.0,29.06.22,0,2,15,Light,0,0.577050835,-0.007106882
e1.3.0,29.06.22,0,3,15,Light,0,0.585459862,-0.005938897
e1.3.0,29.06.22,0,3,15,Light,0,0.380855671,0.008548741
e1.3.0,29.06.22,0,3,15,Light,0,0.513210162,-0.008975541
e2.1.0,29.06.22,0,4,15,Light,0,1.035566223,0.00932789
e2.1.0,29.06.22,0,4,15,Light,0,1.156633367,0.688684523
e2.1.0,29.06.22,0,4,15,Light,0,1.130128553,0.257896518
e2.2.0,29.06.22,0,5,15,Light,0,0.923177728,-0.015125536
e2.2.0,29.06.22,0,5,15,Light,0,0.787094101,0.024838107
e2.2.0,29.06.22,0,5,15,Light,0,0.926420396,0.044415291
e2.3.0,29.06.22,0,6,15,Light,0,0.67743268,-0.005783162
e2.3.0,29.06.22,0,6,15,Light,0,1.178048156,0.040202142
e2.3.0,29.06.22,0,6,15,Light,0,1.534378661,-0.015047697
e3.1.0,29.06.22,0,7,15,Light,0,2.01497707,-0.01644875
e3.1.0,29.06.22,0,7,15,Light,0,2.543344002,-0.009442683
e3.1.0,29.06.22,0,7,15,Light,0,2.337046016,0.008392915
e3.2.0,29.06.22,0,8,15,Light,0,1.422565026,-0.001422167
e3.2.0,29.06.22,0,8,15,Light,0,3.347748878,-0.001500049
e3.2.0,29.06.22,0,8,15,Light,0,2.81477726,-0.000409682
e3.3.0,29.06.22,0,9,15,Light,0,1.151250659,-0.025553642
e3.3.0,29.06.22,0,9,15,Light,0,3.158464764,0.02889265
e3.3.0,29.06.22,0,9,15,Light,0,1.478988525,0.013301933
e4.1.0,29.06.22,0,10,15,Light,0,1.468838295,1.804470232
e4.1.0,29.06.22,0,10,15,Light,0,0.476932232,0.464780182
e4.1.0,29.06.22,0,10,15,Light,0,0.761613363,0.234607782
e4.2.0,29.06.22,0,11,15,Light,0,0.883014395,-0.015047697
e4.2.0,29.06.22,0,11,15,Light,0,0.66565619,0.034507743
e4.2.0,29.06.22,0,11,15,Light,0,0.774092126,0.048863292
e4.3.0,29.06.22,0,12,15,Light,0,0.427823628,0.24735087
e4.3.0,29.06.22,0,12,15,Light,0,0.360311055,0.077677871
e4.3.0,29.06.22,0,12,15,Light,0,0.433512888,0.055419719
e5.1.0,29.06.22,0,13,15,Light,0,3.04585153,0.175542209
e5.1.0,29.06.22,0,13,15,Light,0,1.483664847,0.077130936
e5.1.0,29.06.22,0,13,15,Light,0,3.159493315,0.312744981
e5.2.0,29.06.22,0,14,15,Light,0,3.642515899,0.073302736
e5.2.0,29.06.22,0,14,15,Light,0,2.306392933,0.023356807
e5.2.0,29.06.22,0,14,15,Light,0,1.820258414,0.077052803
e5.3.0,29.06.22,0,15,15,Light,0,6.424822869,2.40783916
e5.3.0,29.06.22,0,15,15,Light,0,19.97863109,0.239169352
e5.3.0,29.06.22,0,15,15,Light,0,11.92441202,3.149766047
e1.1.0,29.06.22,0,1,20,Light,0,0.452109356,0.029126586
e1.1.0,29.06.22,0,1,20,Light,0,0.52743534,0.014003301
e1.1.0,29.06.22,0,1,20,Light,0,0.356028387,0.017588389
e1.2.0,29.06.22,0,2,20,Light,0,0.694213788,0.035209721
e1.2.0,29.06.22,0,2,20,Light,0,0.291398014,-0.004770857
e1.2.0,29.06.22,0,2,20,Light,0,0.577050835,-0.007106882
e1.3.0,29.06.22,0,3,20,Light,0,0.585459862,-0.005938897
e1.3.0,29.06.22,0,3,20,Light,0,0.380855671,0.008548741
e1.3.0,29.06.22,0,3,20,Light,0,0.513210162,-0.008975541
e2.1.0,29.06.22,0,4,20,Light,0,1.035566223,0.00932789
e2.1.0,29.06.22,0,4,20,Light,0,1.156633367,0.688684523
e2.1.0,29.06.22,0,4,20,Light,0,1.130128553,0.257896518
e2.2.0,29.06.22,0,5,20,Light,0,0.923177728,-0.015125536
e2.2.0,29.06.22,0,5,20,Light,0,0.787094101,0.024838107
e2.2.0,29.06.22,0,5,20,Light,0,0.926420396,0.044415291
e2.3.0,29.06.22,0,6,20,Light,0,0.67743268,-0.005783162
e2.3.0,29.06.22,0,6,20,Light,0,1.178048156,0.040202142
e2.3.0,29.06.22,0,6,20,Light,0,1.534378661,-0.015047697
e3.1.0,29.06.22,0,7,20,Light,0,2.01497707,-0.01644875
e3.1.0,29.06.22,0,7,20,Light,0,2.543344002,-0.009442683
e3.1.0,29.06.22,0,7,20,Light,0,2.337046016,0.008392915
e3.2.0,29.06.22,0,8,20,Light,0,1.422565026,-0.001422167
e3.2.0,29.06.22,0,8,20,Light,0,3.347748878,-0.001500049
e3.2.0,29.06.22,0,8,20,Light,0,2.81477726,-0.000409682
e3.3.0,29.06.22,0,9,20,Light,0,1.151250659,-0.025553642
e3.3.0,29.06.22,0,9,20,Light,0,3.158464764,0.02889265
e3.3.0,29.06.22,0,9,20,Light,0,1.478988525,0.013301933
e4.1.0,29.06.22,0,10,20,Light,0,1.468838295,1.804470232
e4.1.0,29.06.22,0,10,20,Light,0,0.476932232,0.464780182
e4.1.0,29.06.22,0,10,20,Light,0,0.761613363,0.234607782
e4.2.0,29.06.22,0,11,20,Light,0,0.883014395,-0.015047697
e4.2.0,29.06.22,0,11,20,Light,0,0.66565619,0.034507743
e4.2.0,29.06.22,0,11,20,Light,0,0.774092126,0.048863292
e4.3.0,29.06.22,0,12,20,Light,0,0.427823628,0.24735087
e4.3.0,29.06.22,0,12,20,Light,0,0.360311055,0.077677871
e4.3.0,29.06.22,0,12,20,Light,0,0.433512888,0.055419719
e5.1.0,29.06.22,0,13,20,Light,0,3.04585153,0.175542209
e5.1.0,29.06.22,0,13,20,Light,0,1.483664847,0.077130936
e5.1.0,29.06.22,0,13,20,Light,0,3.159493315,0.312744981
e5.2.0,29.06.22,0,14,20,Light,0,3.642515899,0.073302736
e5.2.0,29.06.22,0,14,20,Light,0,2.306392933,0.023356807
e5.2.0,29.06.22,0,14,20,Light,0,1.820258414,0.077052803
e5.3.0,29.06.22,0,15,20,Light,0,6.424822869,2.40783916
e5.3.0,29.06.22,0,15,20,Light,0,19.97863109,0.239169352
e5.3.0,29.06.22,0,15,20,Light,0,11.92441202,3.149766047
e1.1.0,29.06.22,0,1,25,Light,0,0.452109356,0.029126586
e1.1.0,29.06.22,0,1,25,Light,0,0.52743534,0.014003301
e1.1.0,29.06.22,0,1,25,Light,0,0.356028387,0.017588389
e1.2.0,29.06.22,0,2,25,Light,0,0.694213788,0.035209721
e1.2.0,29.06.22,0,2,25,Light,0,0.291398014,-0.004770857
e1.2.0,29.06.22,0,2,25,Light,0,0.577050835,-0.007106882
e1.3.0,29.06.22,0,3,25,Light,0,0.585459862,-0.005938897
e1.3.0,29.06.22,0,3,25,Light,0,0.380855671,0.008548741
e1.3.0,29.06.22,0,3,25,Light,0,0.513210162,-0.008975541
e2.1.0,29.06.22,0,4,25,Light,0,1.035566223,0.00932789
e2.1.0,29.06.22,0,4,25,Light,0,1.156633367,0.688684523
e2.1.0,29.06.22,0,4,25,Light,0,1.130128553,0.257896518
e2.2.0,29.06.22,0,5,25,Light,0,0.923177728,-0.015125536
e2.2.0,29.06.22,0,5,25,Light,0,0.787094101,0.024838107
e2.2.0,29.06.22,0,5,25,Light,0,0.926420396,0.044415291
e2.3.0,29.06.22,0,6,25,Light,0,0.67743268,-0.005783162
e2.3.0,29.06.22,0,6,25,Light,0,1.178048156,0.040202142
e2.3.0,29.06.22,0,6,25,Light,0,1.534378661,-0.015047697
e3.1.0,29.06.22,0,7,25,Light,0,2.01497707,-0.01644875
e3.1.0,29.06.22,0,7,25,Light,0,2.543344002,-0.009442683
e3.1.0,29.06.22,0,7,25,Light,0,2.337046016,0.008392915
e3.2.0,29.06.22,0,8,25,Light,0,1.422565026,-0.001422167
e3.2.0,29.06.22,0,8,25,Light,0,3.347748878,-0.001500049
e3.2.0,29.06.22,0,8,25,Light,0,2.81477726,-0.000409682
e3.3.0,29.06.22,0,9,25,Light,0,1.151250659,-0.025553642
e3.3.0,29.06.22,0,9,25,Light,0,3.158464764,0.02889265
e3.3.0,29.06.22,0,9,25,Light,0,1.478988525,0.013301933
e4.1.0,29.06.22,0,10,25,Light,0,1.468838295,1.804470232
e4.1.0,29.06.22,0,10,25,Light,0,0.476932232,0.464780182
e4.1.0,29.06.22,0,10,25,Light,0,0.761613363,0.234607782
e4.2.0,29.06.22,0,11,25,Light,0,0.883014395,-0.015047697
e4.2.0,29.06.22,0,11,25,Light,0,0.66565619,0.034507743
e4.2.0,29.06.22,0,11,25,Light,0,0.774092126,0.048863292
e4.3.0,29.06.22,0,12,25,Light,0,0.427823628,0.24735087
e4.3.0,29.06.22,0,12,25,Light,0,0.360311055,0.077677871
e4.3.0,29.06.22,0,12,25,Light,0,0.433512888,0.055419719
e5.1.0,29.06.22,0,13,25,Light,0,3.04585153,0.175542209
e5.1.0,29.06.22,0,13,25,Light,0,1.483664847,0.077130936
e5.1.0,29.06.22,0,13,25,Light,0,3.159493315,0.312744981
e5.2.0,29.06.22,0,14,25,Light,0,3.642515899,0.073302736
e5.2.0,29.06.22,0,14,25,Light,0,2.306392933,0.023356807
e5.2.0,29.06.22,0,14,25,Light,0,1.820258414,0.077052803
e5.3.0,29.06.22,0,15,25,Light,0,6.424822869,2.40783916
e5.3.0,29.06.22,0,15,25,Light,0,19.97863109,0.239169352
e5.3.0,29.06.22,0,15,25,Light,0,11.92441202,3.149766047
e1.1,06.07.22,7,16,15,Light,1,0.828508764,0.075620457
e1.1,06.07.22,7,16,15,Light,1,0.946942845,0.587155038
e1.1,06.07.22,7,16,15,Light,1,0.346677166,0.308472079
e2.1,06.07.22,7,17,15,Light,2,1.117301608,0.103545598
e2.1,06.07.22,7,17,15,Light,2,1.113718427,0.068372711
e2.1,06.07.22,7,17,15,Light,2,0.914538206,0.073417711
e3.1,06.07.22,7,18,15,Light,3,1.297141541,0.045918908
e3.1,06.07.22,7,18,15,Light,3,1.83878818,0.087700035
e3.1,06.07.22,7,18,15,Light,3,0.923866074,0.012096091
e4.1,06.07.22,7,19,15,Light,4,9.371514494,0.026165246
e4.1,06.07.22,7,19,15,Light,4,0.926410502,0.047197922
e4.1,06.07.22,7,19,15,Light,4,0.847964047,0.039523837
e5.1,06.07.22,7,20,15,Dark,5,0.508904889,0.113564542
e5.1,06.07.22,7,20,15,Dark,5,0.936929587,0.117898979
e5.1,06.07.22,7,20,15,Dark,5,1.297827916,0.355582431
e6.1,06.07.22,7,21,15,Dark,6,0.701573138,0.049187499
e6.1,06.07.22,7,21,15,Dark,6,0.371352534,0.001295527
e6.1,06.07.22,7,21,15,Dark,6,0.827832267,0.053237711
e7.1,06.07.22,7,22,15,Dark,7,1.619636309,0.055511514
e7.1,06.07.22,7,22,15,Dark,7,0.612573428,0.093455598
e7.1,06.07.22,7,22,15,Dark,7,2.105553755,0.060840739
e8.1,06.07.22,7,23,15,Dark,8,1.738242491,0.055298345
e8.1,06.07.22,7,23,15,Dark,8,0.839334619,0.237202571
e8.1,06.07.22,7,23,15,Dark,8,0.582344946,0.133531373
e9.1,06.07.22,7,24,20,Light,9,1.063595542,0.010106513
e9.1,06.07.22,7,24,20,Light,9,0.264447664,0.021049189
e9.1,06.07.22,7,24,20,Light,9,0.585534417,0.013090879
e10.1,06.07.22,7,25,20,Light,10,0.432954567,0.073844049
e10.1,06.07.22,7,25,20,Light,10,0.732923591,-0.006875952
e10.1,06.07.22,7,25,20,Light,10,0.632741224,0.013730387
e11.1,06.07.22,7,26,20,Light,11,0.575295635,0.050679683
e11.1,06.07.22,7,26,20,Light,11,1.26472702,0.018562218
e11.1,06.07.22,7,26,20,Light,11,0.604341807,0.052740316
e12.1,06.07.22,7,27,20,Light,12,0.722470102,0.113067148
e12.1,06.07.22,7,27,20,Light,12,0.522641474,0.053024542
e12.1,06.07.22,7,27,20,Light,12,2.48719946,0.128699542
e13.1,06.07.22,7,28,25,Light,13,2.100273624,0.063185598
e13.1,06.07.22,7,28,25,Light,13,1.471091663,0.203024472
e13.1,06.07.22,7,28,25,Light,13,0.649893605,0.089760669
e14.1,06.07.22,7,29,25,Light,14,33.43769928,0.44234222
e14.1,06.07.22,7,29,25,Light,14,1.161697746,0.060201232
e14.1,06.07.22,7,29,25,Light,14,2.465646016,0.215601444
e15.1,06.07.22,7,30,25,Light,15,0.463547858,0.018562218
e15.1,06.07.22,7,30,25,Light,15,1.082510365,0.047979542
e15.1,06.07.22,7,30,25,Light,15,0.769030687,0.007477429
e16.1,06.07.22,7,31,25,Light,16,1.913751842,0.607903489
e16.1,06.07.22,7,31,25,Light,16,2.029429919,0.476093981
e16.1,06.07.22,7,31,25,Light,16,0.608877343,0.103474542
e1.2,13.07.22,14,32,15,Light,1,1.628559885,0.093668355
e1.2,13.07.22,14,32,15,Light,1,1.198857759,0.040804395
e1.2,13.07.22,14,32,15,Light,1,0.71057018,0.018888269
e2.2,13.07.22,14,33,15,Light,2,0.861465456,0.017316803
e2.2,13.07.22,14,33,15,Light,2,1.307099902,0.041821964
e2.2,13.07.22,14,33,15,Light,2,0.510619371,-0.015389133
e3.2,13.07.22,14,34,15,Light,3,1.144157232,0.262101925
e3.2,13.07.22,14,34,15,Light,3,0.609086298,0.136969044
e3.2,13.07.22,14,34,15,Light,3,1.292618172,0.211096856
e4.2,13.07.22,14,35,15,Light,4,2.535331407,0.168438343
e4.2,13.07.22,14,35,15,Light,4,1.611124337,0.16546646
e4.2,13.07.22,14,35,15,Light,4,0.671735176,0.196499162
e5.2,13.07.22,14,36,15,Dark,5,1.146250662,0.163980623
e5.2,13.07.22,14,36,15,Dark,5,0.651299721,0.028503622
e5.2,13.07.22,14,36,15,Dark,5,0.290570545,-0.015850842
e6.2,13.07.22,14,37,15,Dark,6,0.667141972,0.102101353
e6.2,13.07.22,14,37,15,Dark,6,0.31536189,-0.008185611
e6.2,13.07.22,14,37,15,Dark,6,0.282158812,0.087090312
e7.2,13.07.22,14,38,15,Dark,7,0.692641345,0.171689158
e7.2,13.07.22,14,38,15,Dark,7,0.471075964,0.147455357
e7.2,13.07.22,14,38,15,Dark,7,1.023171466,0.26834357
e8.2,13.07.22,14,39,15,Dark,8,2.44796036,0.176519552
e8.2,13.07.22,14,39,15,Dark,8,0.78536596,0.169831509
e8.2,13.07.22,14,39,15,Dark,8,0.96363585,-0.015112105
e9.2,13.07.22,14,40,20,Light,9,1.609475458,0.139103147
e9.2,13.07.22,14,40,20,Light,9,1.05866008,0.177448558
e9.2,13.07.22,14,40,20,Light,9,1.891333188,0.358098148
e10.2,13.07.22,14,41,20,Light,10,1.174639917,0.13279404
e10.2,13.07.22,14,41,20,Light,10,0.983779287,0.076901653
e10.2,13.07.22,14,41,20,Light,10,6.41789684,1.772210399
e11.2,13.07.22,14,42,20,Light,11,1.122532035,2.237119868
e11.2,13.07.22,14,42,20,Light,11,54.40444105,3.364302868
e11.2,13.07.22,14,42,20,Light,11,1.108586973,0.192502236
e12.2,13.07.22,14,43,20,Light,12,1.783724623,0.067179147
e12.2,13.07.22,14,43,20,Light,12,0.37456269,0.098486938
e12.2,13.07.22,14,43,20,Light,12,2.637211927,2.152115362
e13.2,13.07.22,14,44,25,Light,13,64.72126013,5.469502731
e13.2,13.07.22,14,44,25,Light,13,102.0435055,4.113820644
e13.2,13.07.22,14,44,25,Light,13,70.88930751,1.496200017
e14.2,13.07.22,14,45,25,Light,14,4.908360856,3.54346742
e14.2,13.07.22,14,45,25,Light,14,17.89134393,6.932813433
e14.2,13.07.22,14,45,25,Light,14,42.5846167,3.985098893
e15.2,13.07.22,14,46,25,Light,15,5.059867205,2.564825699
e15.2,13.07.22,14,46,25,Light,15,30.86117554,4.381946183
e15.2,13.07.22,14,46,25,Light,15,5.845582379,1.435492984
e16.2,13.07.22,14,47,25,Light,16,30.39023388,3.307680413
e16.2,13.07.22,14,47,25,Light,16,29.48954327,3.714986026
e16.2,13.07.22,14,47,25,Light,16,38.38956197,4.514569529
e1.3,27.07.22,28,48,15,Light,1,2.253459219,0.10891385
e1.3,27.07.22,28,48,15,Light,1,0.391901979,0.10027899
e1.3,27.07.22,28,48,15,Light,1,0.8334693,0.187812861
e2.3,27.07.22,28,49,15,Light,2,2.976540473,1.104312181
e2.3,27.07.22,28,49,15,Light,2,1.324918862,0.126517859
e2.3,27.07.22,28,49,15,Light,2,0.56371291,0.043405917
e3.3,27.07.22,28,50,15,Light,3,0.46206087,0.147396568
e3.3,27.07.22,28,50,15,Light,3,35.78087368,7.60363833
e3.3,27.07.22,28,50,15,Light,3,2.746381407,0.434713402
e4.3,27.07.22,28,51,15,Light,4,24.48909393,3.787397852
e4.3,27.07.22,28,51,15,Light,4,3.063098136,0.631262339
e4.3,27.07.22,28,51,15,Light,4,1.310055264,0.253422913
e5.3,27.07.22,28,52,15,Dark,5,0.844576095,0.095311109
e5.3,27.07.22,28,52,15,Dark,5,0.48788997,0.093519635
e5.3,27.07.22,28,52,15,Dark,5,0.451555844,0.156780875
e6.3,27.07.22,28,53,15,Dark,6,1.799726343,2.416074589
e6.3,27.07.22,28,53,15,Dark,6,44.47179331,4.927403646
e6.3,27.07.22,28,53,15,Dark,6,39.62074779,9.842939878
e7.3,27.07.22,28,54,15,Dark,7,0.448405105,0.208084379
e7.3,27.07.22,28,54,15,Dark,7,0.447504959,0.172292455
e7.3,27.07.22,28,54,15,Dark,7,0.718555434,0.18397278
e8.3,27.07.22,28,55,15,Dark,8,25.56497154,4.470740956
e8.3,27.07.22,28,55,15,Dark,8,18.58412053,1.273877618
e8.3,27.07.22,28,55,15,Dark,8,21.42322657,2.821108446
e9.3,27.07.22,28,56,20,Light,9,1.745242392,0.034710438
e9.3,27.07.22,28,56,20,Light,9,0.847924224,0.116899449
e9.3,27.07.22,28,56,20,Light,9,0.86223444,0.112580417
e10.3,27.07.22,28,57,20,Light,10,2.459849698,0.182502254
e10.3,27.07.22,28,57,20,Light,10,0.266562605,0.568458918
e10.3,27.07.22,28,57,20,Light,10,2.318484556,0.685056572
e11.3,27.07.22,28,58,20,Light,11,1.161094553,0.270956605
e11.3,27.07.22,28,58,20,Light,11,0.919854829,0.230335017
e11.3,27.07.22,28,58,20,Light,11,1.370334217,0.402492169
e15.3,27.07.22,28,59,25,Light,15,0.772082095,0.113721227
e15.3,27.07.22,28,59,25,Light,15,0.578480197,0.225752517
e15.3,27.07.22,28,59,25,Light,15,1.302626515,0.466230127
e16.3,27.07.22,28,60,25,Light,16,1.276796473,0.089855622
e16.3,27.07.22,28,60,25,Light,16,0.455157124,0.192961052
e16.3,27.07.22,28,60,25,Light,16,1.050940034,0.043812316
e1.4,06.08.22,38,61,15,Light,1,0.512859046,0.210694333
e1.4,06.08.22,38,61,15,Light,1,0.538683064,0.159395271
e1.4,06.08.22,38,61,15,Light,1,0.74945717,0.105834615
e2.4,06.08.22,38,62,15,Light,2,0.408920455,0.988690815
e2.4,06.08.22,38,62,15,Light,2,0.547445056,0.167042547
e2.4,06.08.22,38,62,15,Light,2,0.677723088,1.153745401
e3.4,06.08.22,38,63,15,Light,3,1.14608876,1.879238391
e3.4,06.08.22,38,63,15,Light,3,0.613771396,0.961832941
e3.4,06.08.22,38,63,15,Light,3,1.056933957,0.313217538
e4.4,06.08.22,38,64,15,Light,4,1.921500103,0.075318962
e4.4,06.08.22,38,64,15,Light,4,2.551521948,0.114810735
e4.4,06.08.22,38,64,15,Light,4,1.378721127,0.162252268
e5.4,06.08.22,38,65,15,Dark,5,1.409076053,0.347864392
e5.4,06.08.22,38,65,15,Dark,5,1.091165625,0.542035449
e5.4,06.08.22,38,65,15,Dark,5,0.665785898,0.614547391
e6.4,06.08.22,38,66,15,Dark,6,27.62031629,3.630706784
e6.4,06.08.22,38,66,15,Dark,6,1.347635934,0.558635402
e6.4,06.08.22,38,66,15,Dark,6,26.00359379,5.646285561
e7.4,06.08.22,38,67,15,Dark,7,35.20630197,4.704962222
e7.4,06.08.22,38,67,15,Dark,7,41.80155106,2.778222817
e7.4,06.08.22,38,67,15,Dark,7,46.96791108,4.149588193
e8.4,06.08.22,38,68,15,Dark,8,0.967020205,0.378319051
e8.4,06.08.22,38,68,15,Dark,8,1.944664036,0.229301297
e8.4,06.08.22,38,68,15,Dark,8,1.243621627,0.538631473
e11.4,06.08.22,38,69,20,Light,11,1.095712961,0.24412774
e11.4,06.08.22,38,69,20,Light,11,0.751252966,0.138396236
e11.4,06.08.22,38,69,20,Light,11,1.859622956,0.188818487
e1.5,19.09.22,82,70,15,Light,1,1.674176609,0.428308244
e1.5,19.09.22,82,70,15,Light,1,0.683910276,0.027419118
e1.5,19.09.22,82,70,15,Light,1,0.702615307,0.069604296
e2.5,19.09.22,82,71,15,Light,2,0.710317378,0.026986005
e2.5,19.09.22,82,71,15,Light,2,0.58290311,0.013992624
e2.5,19.09.22,82,71,15,Light,2,0.326754218,0.024040839
e3.5,19.09.22,82,72,15,Light,3,0.420499431,0.030104417
e3.5,19.09.22,82,72,15,Light,3,1.054269884,-0.005757316
e3.5,19.09.22,82,72,15,Light,3,0.619652994,0.004810634
e1.6,26.10.22,119,73,15,Light,1,0.94560839,0.05471168
e1.6,26.10.22,119,73,15,Light,1,0.716271545,0.023214106
e1.6,26.10.22,119,73,15,Light,1,1.042966368,1.276605073
e2.6,26.10.22,119,74,15,Light,2,35.02652049,4.340426577
e2.6,26.10.22,119,74,15,Light,2,1.46545151,0.703500927
e2.6,26.10.22,119,74,15,Light,2,15.67872776,1.474254564